job_title,industry,company_size,location,ai_adoption_level,automation_risk,required_skills,salary_usd,remote_friendly,job_growth_projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.16524315962,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,73792.56246610906,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,Low,UX/UI Design,137170.26306894998,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,Medium,Project Management,83027.95375786416,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92217059238,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,77825.0078665678,No,Growth
HR Manager,Finance,Medium,Singapore,Low,Low,Sales,87065.72067347592,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.3176180969,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,105015.86084571481,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Medium,Cybersecurity,86834.57829480869,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,71566.97337925188,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,Low,UX/UI Design,108902.56574458485,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Low,Python,103151.99034926406,Yes,Growth
HR Manager,Retail,Small,Paris,Low,Medium,Cybersecurity,83209.51687788912,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.90114055388,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,High,UX/UI Design,72799.35770690278,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,High,Machine Learning,68401.25928174148,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,Low,Project Management,103394.89621925619,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.09878289838,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,High,UX/UI Design,63920.45852718527,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,High,JavaScript,124822.69138041462,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,91794.37128058006,Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Low,Cybersecurity,16495.71444254798,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.5666674173,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.33040362394,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,122234.37135048377,Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,70762.52473455408,No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Medium,Cybersecurity,58323.29633120395,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16253006447,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,High,Python,76548.39543301976,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.714993791786,Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,101772.434687809,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,High,Machine Learning,63376.6022839067,No,Growth
HR Manager,Finance,Large,London,Low,High,Machine Learning,103340.87641895234,Yes,Stable
